Offence,Act,Class 
Breach of restraining order ,Protection from Harassment Act 1997 s. 5(5) ,H 
Breach of sex offender order ,Crime and Disorder Act 1998 s. 2(8) ,H 
Breaking or injuring submarine telegraph cables ,Submarine Telegraph Act 1885 s.3 ,C 
Buggery of males of 16 or over otherwise than in private ,Sexual Offences Act 1956 s.12 ,H 
Buggery of person under 16 ,Sexual Offences Act 1956 s.12 ,J 
Burglary (domestic) ,Theft Act 1968 s.9(3)(a) ,E 
Burglary (non-domestic) ,Theft Act 1968 s.9(3)(b) ,E 
Care workers: causing a person with a mental disorder to watch a sexual act ,Sexual Offences Act 2003 s. 41 ,D 
Care workers: inciting person with mental disorder to engage in sexual act ,Sexual Offences Act 2003 s. 39 ,J 
Care workers: sexual activity in presence of a person with a mental disorder ,Sexual Offences Act 2003 s. 40 ,D 
Care workers: sexual activity with a person with a mental disorder ,Sexual Offences Act 2003 s. 38 ,J 
Carrying loaded firearm in public place ,Firearms Act 1968 s.19 ,C 
Causing a child to engage in sexual activity ,Sexual Offences Act 2003 s. 10 ,J 
Causing a child to watch a sexual act ,Sexual Offences Act 2003 s. 12 ,D 
Causing a child under 13 to engage in sexual activity ,Sexual Offences Act 2003 s. 8 ,J 
Causing a person with a mental disorder to watch a sexual act ,Sexual Offences Act 2003 s. 33 ,D 
Causing a person with a mental disorder to watch a sexual act ,Sexual Offences Act 2003 s. 37 ,D 
Causing bodily injury by explosives ,Offences against the Person Act 1861 s.28 ,B 
Causing danger to road users ,Road Traffic Act 1988 s.22A ,B 
Causing death by careless driving while under the influence of drink or drugs ,Road Traffic Act 1988 s.3A ,B 
Causing death by dangerous driving ,Road Traffic Act 1988 s.1 ,B 
Causing explosion likely to endanger life or property ,Explosive Substances Act 1883 s.2 ,A 
"Causing miscarriage by poison, instrument ",Offences against the Person Act 1861 s.58 ,B 
Causing or allowing the death of a child ,"Domestic Violence, Crime and Victims Act 2004 s.5 ",B 
Causing or encouraging prostitution of defective ,Sexual Offences Act 1956 s.29 ,D 
Causing or encouraging prostitution of girl under 16 ,Sexual Offences Act 1956 s.28 ,J 
Causing or inciting a person with a mental disorder to engage in sexual activity ,Sexual Offences Act 2003 s. 31 ,J 
Causing or inciting child prostitution or pornography ,Sexual Offences Act 2003 s. 48 ,J 
Causing or inciting prostitution for gain ,Sexual Offences Act 2003 s. 52 ,D 
Causing prostitution of women ,Sexual Offences Act 1956 s.22 ,H 
Causing sexual activity with penetration ,Sexual Offences Act 2003 s. 4 ,J 
Causing sexual activity without penetration ,Sexual Offences Act 2003 s. 4 ,D 
Child abduction by connected person ,Child Abduction Act 1984 s.1 ,C 
Child abduction by other person ,Child Abduction Act 1984 s.2 ,C 
Child destruction ,Infant Life (Preservation) Act 1929 s.1(1) ,A 
Child sex offence committed by person under 18 ,Sexual Offences Act 2003 s. 13 ,D 
Circumcision of females ,Prohibition of Female Circumcision Act 1985 s.1 ,C 
Committing offence with intent to commit sexual offence ,Sexual Offences Act 2003 s. 62 ,D 
Concealing an arrestable offence ,Criminal Law Act 1967 s.5 ,I 
Concealing criminal property ,Proceeds of Crime Act 2002 s.327 ,B 
Concealment of birth ,Offences against the Person Act 1861 s.60 ,C 
Conspiring to commit offences outside the United Kingdom ,Criminal Justice (Terrorism and Conspiracy) Act 1998 s. 5 ,I 
Contamination of goods with intent ,Public Order Act 1986 s.38 ,B 
Controlling a child prostitute ,Sexual Offences Act 2003 s. 49 ,J 
Controlling prostitution for gain ,Sexual Offences Act 2003 s. 53 ,D 
Copying false instrument with intent ,Forgery and Counterfeiting Act 1981 s.2 ,F
Copying false instrument with intent ,Forgery and Counterfeiting Act 1981 s.2 ,G
Copying false instrument with intent ,Forgery and Counterfeiting Act 1981 s.2 ,K
Corrupt transactions with agents ,Prevention of Corruption Act 1906 s.1 ,I 
Corruption in public office ,Public Bodies Corrupt Practices Act 1889 s.1 ,I 
Counterfeiting Customs documents ,Customs and Excise Management Act 1979 s.168 ,F
Counterfeiting Customs documents ,Customs and Excise Management Act 1979 s.168 ,G
Counterfeiting Customs documents ,Customs and Excise Management Act 1979 s.168 ,K
Counterfeiting notes and coins ,Forgery and Counterfeiting Act 1981 s.14 ,G
Counterfeiting of dies or marks ,Hallmarking Act 1973 s.6 ,F
Counterfeiting of dies or marks ,Hallmarking Act 1973 s.6 ,G
Counterfeiting of dies or marks ,Hallmarking Act 1973 s.6 ,K
Criminal damage (other than aggravated criminal damage) ,Criminal Damage Act 1971 s.1(1) ,C 
Cruelty to persons under 16 ,Children and Young Persons Act 1933 s.1 ,B 
Cultivation of cannabis plant ,Misuse of Drugs Act 1971 s.6 ,B 
Custody or control of false instruments etc. ,Forgery and Counterfeiting Act 1981 s.5 ,F
Custody or control of false instruments etc. ,Forgery and Counterfeiting Act 1981 s.5 ,G
Custody or control of false instruments etc. ,Forgery and Counterfeiting Act 1981 s.5 ,K
Dangerous driving ,Road Traffic Act 1988 s.2 ,H 
Dealing in firearms ,Firearms Act 1968 s.3 ,C 
Destruction of registers of births etc. ,Forgery Act 1861 s.36 ,F
Detention of woman in brothel or other premises ,Sexual Offences Act 1956 s.24 ,H 
Directing terrorist organisation ,Terrorism Act 2000 s.56 ,B 
"Disclosure prejudicing, or interference of material relevant to, investigation of terrorism ",Terrorism Act 2000 s.39 ,B 
"Disclosure under sections 330, 331, 332 or 333 of the Proceeds of Crime Act 2002 otherwise than in the form and manner prescribed ",Proceeds of Crime Act 2002 s.339(1A) ,B 
Drug trafficking offences at sea ,Criminal Justice (International Co-operation) Act 1990 s.18 ,B 
Embracery ,Common law ,I 
Endangering the safety of an aircraft ,Aviation Security Act 1982 s. 2(1)(b) ,B 
Endangering the safety of railway passengers ,"Offences against the Person Act 1861 ss.32, 33, 34 ",B 
Engaging in sexual activity in the presence of a child ,Sexual Offences Act 2003 s. 11 ,D 
Engaging in sexual activity in the presence of a person with a mental disorder ,Sexual Offences Act 2003 s. 32 ,D 
Engaging in sexual activity in the presence of a person with a mental disorder ,Sexual Offences Act 2003 s. 36 ,D 
Escaping from lawful custody without force ,Common law ,C 
Evasion of liability by deception ,Theft Act 1978 s.2 ,F
Evasion of liability by deception ,Theft Act 1978 s.2 ,G
Evasion of liability by deception ,Theft Act 1978 s.2 ,K
Exposure ,Sexual Offences Act 2003 s. 66 ,D 
Fabrication of evidence with intent to mislead a tribunal ,Common law ,I 
Facilitating child prostitution ,Sexual Offences Act 2003 s. 50 ,J 
Failing to keep dogs under proper control resulting in injury ,Dangerous Dogs Act 1991 s.3 ,C 
Failure to comply with certificate when transferring firearm ,Firearms Act 1968 s.42 ,C 
Failure to disclose information about terrorism ,Terrorism Act 2000 s.19 ,C 
Failure to disclose knowledge or suspicion of money laundering ,Drug Trafficking Offences Act 1986 s.26B ,C 
Failure to disclose knowledge or suspicion of money laundering: nominated officers in the regulated sector ,Proceeds of Crime Act 2002 s.331 ,B 
Failure to disclose knowledge or suspicion of money laundering: other nominated officers ,Proceeds of Crime Act 2002 s.332 ,B 
Failure to disclose knowledge or suspicion of money laundering: regulated sector ,Proceeds of Crime Act 2002 s.330 ,B 
False accounting ,Theft Act 1968 s.17 ,F
False accounting ,Theft Act 1968 s.17 ,G
False accounting ,Theft Act 1968 s.17 ,K
False evidence before European Court ,European Communities Act 1972 s.11 ,I 
False imprisonment ,Common law ,B 
False statement tendered under section 5B of the Magistrates' Courts Act 1980 ,Magistrates' Courts Act 1980 s.106 ,I 
False statement tendered under section 9 of the Criminal Justice Act 1967 ,Criminal Justice Act 1967 s.89 ,I 
Firing on Revenue vessel ,Customs and Excise Management Act 1979 s.85 ,B 
Forgery ,Forgery and Counterfeiting Act 1981 s.1 ,F
Forgery ,Forgery and Counterfeiting Act 1981 s.1 ,G
Forgery ,Forgery and Counterfeiting Act 1981 s.1 ,K
Forgery and misuse of driving documents ,Public Passenger Vehicles Act 1981 s.65 ,H 
Forgery etc. of licences and other documents ,Road Traffic Act 1988 s.173 ,H 
Forgery of driving documents ,Road Traffic Act 1960 s.233 ,H 
"Forgery, alteration, fraud of licences etc. ",Vehicle Excise and Registration Act 1994 s.44 ,H 
Fraud by abuse of position ,Fraud Act 2006 s.4 ,F
Fraud by abuse of position ,Fraud Act 2006 s.4 ,G
Fraud by abuse of position ,Fraud Act 2006 s.4 ,K
Fraud by failing to disclose information ,Fraud Act 2006 s.3 ,F
Fraud by failing to disclose information ,Fraud Act 2006 s.3 ,G
Fraud by failing to disclose information ,Fraud Act 2006 s.3 ,K
Fraud by false representation ,Fraud Act 2006 s.2 ,F
Fraud by false representation ,Fraud Act 2006 s.2 ,G
Fraud by false representation ,Fraud Act 2006 s.2 ,K
Fraudulent evasion of agricultural levy ,Customs and Excise Management Act 1979 s.68A(1) and (2) ,C 
Fraudulent evasion of controls on Class A and B drugs ,"Customs and Excise Management Act 1979 s.170(2)(b), (c) ",B 
Fraudulent evasion of controls on Class C drugs ,"Customs and Excise Management Act 1979 s. 170(2)(b),(c)",C 
Fraudulent evasion of duty ,Customs and Excise Management Act 1979 s. 170(1)(b) ,F
Fraudulent evasion of duty ,Customs and Excise Management Act 1979 s. 170(1)(b) ,G
Fraudulent evasion of duty ,Customs and Excise Management Act 1979 s. 170(1)(b) ,K
Fraudulent evasion: counterfeit notes or coins ,"Customs and Excise Management Act 1979 s.170(2)(b), (c) ",G
Fraudulent evasion: not elsewhere specified ,"Customs and Excise Management Act 1979 s.170(2)(b), (c) ",F
Fraudulent evasion: not elsewhere specified ,"Customs and Excise Management Act 1979 s.170(2)(b), (c) ",G
Fraudulent evasion: not elsewhere specified ,"Customs and Excise Management Act 1979 s.170(2)(b), (c) ",K
Fund-raising for terrorism ,Terrorism Act 2000 s.15 ,B 
Giving false statements to procure cremation ,Cremation Act 1902 s.8(2) ,I 
Going equipped to steal ,Theft Act 1968 s.25 ,E 
Gross indecency between male of 21 or over and male under 16 ,Sexual Offences Act 1956 s.13 ,D 
Gross indecency between males (other than where one is 21 or over and the other is under 16) ,Sexual Offences Act 1956 s.13 ,H 
Handling stolen goods ,Theft Act 1968 s.22 ,F
Handling stolen goods ,Theft Act 1968 s.22 ,G
Handling stolen goods ,Theft Act 1968 s.22 ,K
Harbouring escaped prisoners ,Criminal Justice Act 1961 s.22 ,C 
"Harming, threatening to harm a witness, juror etc. ",Criminal Justice and Public Order Act 1994 s.51(2) ,I 
Having an article with a blade or point in a public place ,Criminal Justice Act 1988 s. 139 ,H 
Hostage taking ,Taking of Hostages Act 1982 s.1 ,B 
Illegal importation of Class A and B drugs ,Customs and Excise Management Act 1979 s.50 ,B 
Illegal importation of Class C drugs ,Customs and Excise Management Act 1979 s.50 ,C
Illegal importation: counterfeit notes or coins ,Customs and Excise Management Act 1979 s.50 ,G
Illegal importation: not elsewhere specified ,Customs and Excise Management Act 1979 s.50 ,F
Illegal importation: not elsewhere specified ,Customs and Excise Management Act 1979 s.50 ,G
Illegal importation: not elsewhere specified ,Customs and Excise Management Act 1979 s.50 ,K
Ill-treatment of persons of unsound mind ,Mental Health Act 1983 s.127 ,D 
Impeding persons endeavouring to escape wrecks ,Offences against the Person Act 1861 s.17 ,B 
Impersonating Customs officer ,Customs and Excise Management Act 1979 s.13 ,H 
Incest by man with a girl under 13 ,Sexual Offences Act 1956 s. 10 ,J 
Incest other than by man with a girl under 13 ,Sexual Offences Act 1956 ss.10 and 11 ,D 
Incitement of terrorism overseas ,Terrorism Act 2000 s.59 ,B 
Incitement to commit incest ,Criminal Law Act 1977 s.54 ,D 
Inciting a child family member to engage in sexual activity ,Sexual Offences Act 2003 s. 26 ,J 
Indecency with children under 14 ,Indecency with Children Act 1960 s.1(1) ,J 
Indecent assault on a man ,Sexual Offences Act 1956 s.15 ,D 
Indecent assault on a woman ,Sexual Offences Act 1956 s.14 ,D 
Indecent display ,Indecent Displays (Control) Act 1981 s.1 ,H 
Inducing person with mental disorder to engage in sexual activity ,Sexual Offences Act 2003 s. 35 ,J 
Infanticide ,Infanticide Act 1938 s.1(1) ,A 
Intercourse with an animal ,Sexual Offences Act 2003 s. 69 ,D 
"Intimidating a witness, juror etc. ",Criminal Justice and Public Order Act 1994 s.51(1) ,I 
"Involvement in arrangements facilitating the acquisition, retention, use or control of criminal property ",Proceeds of Crime Act 2002 s.328 ,B 
Keeping a disorderly house ,Common law; Disorderly Houses Act 1751 s.8 ,H 
Kidnapping ,Common law ,B 
Living on earnings of male prostitution ,Sexual Offences Act 1967 s.5 ,D 
Making a false statement to obtain interim possession order ,Criminal Justice and Public Order Act 1994 s.75(1) ,I 
Making false entries in copies of registers sent to register ,Forgery Act 1861 s.37 ,F
Making false statement to authorised officer ,Trade Descriptions Act 1968 s.29(2) ,I 
Making false statement to resist making of interim possession order ,Criminal Justice and Public Order Act 1994 s.75(2) ,I 
Making gunpowder etc. to commit offences ,Offences against the Person Act 1861 s.64 ,C 
Making off without payment ,Theft Act 1978 s.3 ,H 
Making or possession of explosive in suspicious circumstances ,Explosive Substances Act 1883 s.4(1) ,B 
Making or supplying articles for use in frauds ,Fraud Act 2006 s.7 ,F
Making or supplying articles for use in frauds ,Fraud Act 2006 s.7 ,G
Making or supplying articles for use in frauds ,Fraud Act 2006 s.7 ,K
Making threats to destroy or damage property ,Criminal Damage Act 1971 s.2 ,C 
Making threats to kill ,Offences against the Person Act 1861 s.16 ,B
"Making, custody or control of counterfeiting materials etc. ",Forgery and Counterfeiting Act 1981 s.175 ,G
Man living on earnings of prostitution ,Sexual Offences Act 1956 s.30 ,D 
Manslaughter ,Common law ,A 
Manufacture and supply of scheduled substances ,Criminal Justice (International Co-operation) Act 1990 s.12 ,B 
Meeting child following sexual grooming ,Sexual Offences Act 2003 s. 15 ,D 
Membership of proscribed organisations ,Terrorism Act 2000 s.11 ,B 
Misconduct endangering ship or persons on board ship ,Merchant Shipping Act 1970 s.27 ,H 
Mishandling or falsifying parking documents etc. ,Road Traffic Regulation Act 1984 s.115 ,H 
Murder ,Common law ,A 
Neglecting to provide food for or assaulting servants etc. ,Offences against the Person Act 1861 s.26 ,C 
Obscene articles intended for publication for gain ,Obscene Publications Act 1964 s.1 ,H 
Obstructing Customs officer ,Customs and Excise Management Act 1979 s.16 ,H 
Obstructing engine or carriage on railway ,Malicious Damage Act 1861 s.36 ,H 
Obtaining pecuniary advantage by deception ,Theft Act 1968 s.16 ,F
Obtaining pecuniary advantage by deception ,Theft Act 1968 s.16 ,G
Obtaining pecuniary advantage by deception ,Theft Act 1968 s.16 ,K
Obtaining property by deception ,Theft Act 1968 s.15 ,F
Obtaining property by deception ,Theft Act 1968 s.15 ,G
Obtaining property by deception ,Theft Act 1968 s.15 ,K
Obtaining services by deception ,Theft Act 1978 s.1 ,F
Obtaining services by deception ,Theft Act 1978 s.1 ,G
Obtaining services by deception ,Theft Act 1978 s.1 ,K
Obtaining services by dishonesty ,Fraud Act 2006 s.11 ,F
Obtaining services by dishonesty ,Fraud Act 2006 s.11 ,G
Obtaining services by dishonesty ,Fraud Act 2006 s.11 ,K
Occupier knowingly permitting drugs offences etc. ,Misuse of Drugs Act 1971 s.8 ,B 
Offences against international protection of nuclear material ,Nuclear Material (Offences) Act 1983 s.2 ,B 
Offences in relation to dies or stamps ,Stamp Duties Management Act 1891 s.13 ,F
Offences in relation to dies or stamps ,Stamp Duties Management Act 1891 s.13 ,G
Offences in relation to dies or stamps ,Stamp Duties Management Act 1891 s.13 ,K
Offences in relation to money laundering investigations ,Drug Trafficking Act 1994 ss.52 and 53 ,B 
Offences in relation to proceeds of drug trafficking ,"Drug Trafficking Act 1994 ss.49, 50 and 51 ",B
Offences involving custody or control of counterfeit notes and coins ,Forgery and Counterfeiting Act 1981 s.16 ,G
Offences of publication of obscene matter ,Obscene Publications Act 1959 s.2 ,H 
Offences relating to the safe custody of controlled drugs ,Misuse of Drugs Act 1971 s.11 ,H 
Offender armed or disguised ,Customs and Excise Management Act 1979 s.86 ,C 
Offering inducement to procure sexual activity with a person with a mental disorder ,Sexual Offences Act 2003 s. 34 ,J 
Other offences involving money or property to be used for terrorism ,Terrorism Act 2000 ss.16-18 ,B 
Participating in fraudulent business carried on by sole trader etc. ,Fraud Act 2006 s.9 ,F
Participating in fraudulent business carried on by sole trader etc. ,Fraud Act 2006 s.9 ,G
Participating in fraudulent business carried on by sole trader etc. ,Fraud Act 2006 s.9 ,K
Passing counterfeit notes and coins ,Forgery and Counterfeiting Act 1981 s.15 ,G
Paying for sexual services of a child ,Sexual Offences Act 2003 s. 47 ,J 
Perjuries (7 offences) ,Perjury Act 1911 ss.1-7(2) ,I 
Permitting an escape ,Common law ,C 
Permitting defective to use premises for intercourse ,Sexual Offences Act 1956 s.27 ,D 
Permitting girl under 13 to use premises for sexual intercourse ,Sexual Offences Act 1956 s.25 ,J 
Permitting girl under 16 to use premises for intercourse ,Sexual Offences Act 1956 s.26 ,J 
Personating for purposes of bail etc. ,Forgery Act 1861 s.34 ,I 
Personation of jurors ,Common law ,I 
Perverting the course of public justice ,Common law ,I 
Placing explosives with intent to cause bodily injury ,Offences against the Person Act 1861 s.30 ,B 
Possessing anything with intent to destroy or damage property ,Criminal Damage Act 1971 s.3 ,C 
Possession (with intention) of apparatus or material for making false identity documents ,Identity Cards Act 2006 s.25(3) ,F
Possession (with intention) of false identity documents ,Identity Cards Act 2006 s.25(1) ,F
Possession of false identity documents ,Section 25(1) and (3) of the Identify Cards Act ,F
Possession (without reasonable excuse) of false identity documents or apparatus or material for making false identity documents,Identity Cards Act 2006 s.25(5) ,F
Possession etc of articles for use in frauds ,Fraud Act 2006 s.6 ,F
Possession etc of articles for use in frauds ,Fraud Act 2006 s.6 ,G
Possession etc of articles for use in frauds ,Fraud Act 2006 s.6 ,K
Possession of a Class A or B drug with intent to supply ,Misuse of Drugs Act 1971 s.5(3) ,B 
Possession of a Class C drug with intent to supply ,Misuse of Drugs Act 1971 s.5(3) ,C 
Possession of articles for terrorist purposes ,Terrorism Act 2000 s.57 ,B 
Possession of Class A drug ,Misuse of Drugs Act 1971 s.5(2) ,C 
Possession of Class B or C drug ,Misuse of Drugs Act 1971 s.5(2) ,H 
Possession of firearm with criminal intent ,Firearms Act 1968 s.18 ,B 
Possession of firearm with intent to endanger life ,Firearms Act 1968 s.16 ,B 
Possession of firearm without certificate ,Firearms Act 1968 s.1 ,C 
Possession of firearms by person convicted of crime ,Firearms Act 1968 s.21(4) ,C 
Possession of offensive weapon ,Prevention of Crime Act 1953 s.1 ,H 
Possession or acquisition of certain prohibited weapons etc. ,Firearms Act 1968 s.5 ,B 
Possession or acquisition of shotgun without certificate ,Firearms Act 1968 s.2 ,C 
Practitioner contravening drug supply regulations ,Misuse of Drugs Act 1971 ss.12 and 13 ,B 
Prejudicing a drug trafficking investigation ,Drug Trafficking Act 1994 s.58(1) ,I 
Presentation of obscene performance ,Theatres Act 1968 s.2 ,H 
Prison mutiny ,Prison Security Act 1992 s.1 ,B 
Procuration of girl under 21 ,Sexual Offences Act 1956 s.23 ,D 
Procurement of a defective ,Sexual Offences Act 1956 s.9 ,D 
Procurement of a woman by false pretences ,Sexual Offences Act 1956 s.3 ,H 
Procurement of intercourse by threats etc. ,Sexual Offences Act 1956 s.2 ,H 
Procuring others to commit homosexual acts ,Sexual Offences Act 1967 s.4 ,H 
Producing or supplying a Class A or B drug ,Misuse of Drugs Act 1971 s.4 ,B 
Producing or supplying Class C drug ,Misuse of Drugs Act 1971 s.4 ,C 
Putting people in fear of violence ,Protection from Harassment Act 1997 s. 4(1) ,H 
Racially aggravated harassment/putting another in fear of violence ,Crime and Disorder Act 1998 s. 32(1) ,H 
Racially-aggravated arson (not endangering life) ,Crime and Disorder Act 1998 s. 30(1) ,B 
Racially-aggravated assault ,Crime and Disorder Act 1998 s. 29(1) ,C 
Racially-aggravated criminal damage ,Crime and Disorder Act 1998 s. 30(1) ,C 
Racially-aggravated public order offence ,Crime and Disorder Act 1998 s. 31(1) ,H 
Rape ,Sexual Offences Act 1956 s.1(1) ,J 
Rape ,Sexual Offences Act 2003 s. 1 ,J 
Rape of child under 13 ,Sexual Offences Act 2003 s. 5 ,J
Removal of articles from places open to the public ,Theft Act 1968 s.11 ,F
Removal of articles from places open to the public ,Theft Act 1968 s.11 ,G
Removal of articles from places open to the public ,Theft Act 1968 s.11 ,K
Rescue ,Common law ,C 
Riot ,Public Order Act 1986 s.1 ,B 
Robbery (other than armed robbery) ,Theft Act 1968 s.8(1) ,C 
Sending prohibited articles by post ,Post Office Act 1953 s.11 ,H 
Setting spring guns with intent to inflict grievous bodily harm ,Offences against the Person Act 1861 s.31 ,C 
Sex with adult relative ,"Sexual Offences Act 2003 s. 64, 65 ",D 
Sexual activity with a child ,Sexual Offences Act 2003 s. 9 ,J 
"Sexual activity with a child family member, with penetration ",Sexual Offences Act 2003 s. 25 ,J 
Sexual activity with a person with a mental disorder ,Sexual Offences Act 2003 s. 30 ,J 
Sexual assault ,Sexual Offences Act 2003 s.3 ,D 
Sexual assault of child under 13 ,Sexual Offences Act 2003 s. 7 ,J 
Sexual intercourse with defective ,Sexual Offences Act 1956 s.7 ,J 
Sexual intercourse with girl under 13 ,Sexual Offences Act 1956 s.5 ,J 
Sexual intercourse with girl under 16 ,Sexual Offences Act 1956 s.6 ,J 
Sexual intercourse with patients ,Mental Health Act 1959 s.128 ,J 
Sexual penetration of a corpse ,Sexual Offences Act 2003 s. 70 ,D 
Shortening of shotgun or possession of shortened shotgun ,Firearms Act 1968 s.4 ,C 
Shortening of smooth bore gun ,Firearms Amendment Act 1988 s.6(1) ,C 
Solicitation for immoral purposes ,Sexual Offences Act 1956 s.32 ,H 
Soliciting to commit murder ,Offences against the Person Act 1861 s.4 ,A 
Stirring up racial hatred ,Public Order Act 1986 ss.18-23 ,C 
Supplying instrument etc. to cause miscarriage ,Offences against the Person Act 1861 s.59 ,C 
Support or meeting of proscribed organisations ,Terrorism Act 2000 s.12 ,B 
"Taking, having etc. indecent photographs of children ",Protection of Children Act 1978 s.1 ,J 
Theft ,Theft Act 1968 s.1 ,F
Theft ,Theft Act 1968 s.1 ,G
Theft ,Theft Act 1968 s.1 ,K
Tipping off ,Proceeds of Crime Act 2002 s.333 ,B 
Tipping-off in relation to money laundering investigations ,Drug Trafficking Offences Act 1986 s.26C ,C 
Trade description offences (9 offences) ,"Trade Descriptions Act 1968 ss.1, 8, 9, 12, 13, 14 ",H 
Trafficking into UK for sexual exploitation ,Sexual Offences Act 2003 s. 57 ,J 
Trafficking out of UK for sexual exploitation ,Sexual Offences Act 2003 s. 59 ,J 
Trafficking within UK for sexual exploitation ,Sexual Offences Act 2003 s. 58 ,J 
Trespass with intent to commit sexual offence ,Sexual Offences Act 2003 s. 63 ,D 
Trespassing with a firearm ,Firearms Act 1968 s.20 ,C
Undischarged bankrupt being concerned in a company ,Insolvency Act 1986 s. 360 ,G
