Category,Band,Offence,Contrary to,Year and Chapter
2,2.1,"Placing gunpowder near a building, with intent to do bodily injury to any person","Offences Against the Person Act 1861, s.30",1861 c. 100
2,2.1,"Making or having gunpowder, &c., with intent to commit any felony against this Act",Offences Against the Person Act 1861 s.64                            ,1861 c. 100
2,2.1,Hostage-taking,"Taking of Hostages Act 1982, s.1",1982 c. 28
2,2.1,Encouragement of terrorism,"Terrorism Act 2006, s.1",2006 c. 11
2,2.1,Dissemination of terrorist publications,"Terrorism Act 2006, s.2",2006 c. 11
2,2.1,Preparation of terrorist acts,Terrorism Act 2006 s.5,2006 c. 11
2,2.1,Training for terrorism,"Terrorism Act 2006, s.6",2006 c. 11
2,2.1,Making and possession of devices and materials,"Terrorism Act 2006, s.9",2006 c. 11
2,2.1,Misuse of devices or material and misuse and damage of facilities,"Terrorism Act 2006, s.10",2006 c. 11
2,2.1,Terrorist make threat to use radioactive device/material,"Terrorism Act 2006, s.11",2006 c. 11
2,2.1,"Terrorist threats relating to devices, materials or facilities","Terrorism Act 2006, s.11",2006 c. 11
2,2.2,Knowingly or recklessly make false or misleading statements for purpose of obtaining or opposing the variation or withdrawal of authorisation for the purposes of Section 47 and 50,"Anti-terrorism, Crime & Security Act 2001, s.54",2001 c. 24
2,2.2,Contravene prohibition on disclosure on information. ,"Al-Qaida and Taliban (UN Measures) Order 2006, s.6",2006 No. 2952
2,2.2,Contravene prohibition on dealing with funds/economic resources.,"Al-Qaida and Taliban (UN Measures) Order 2006, s.7",2006 No. 2952
2,2.2,Contravene prohibition on making available funds/economic resources.,"Al-Qaida and Taliban (UN Measures) Order 2006, s.8",2006 No. 2952
2,2.2,Knowingly & intentionally participate in activities to circumvent an Article 7 or 8 prohibition.,"Al-Qaida and Taliban (UN Measures) Order 2006, s.10",2006 No. 2952
2,2.2,Fail to comply with a condition attached to an Article 7 or 9 exemption licence ,"Al-Qaida and Taliban (UN Measures) Order 2006, s.11",2006 No. 2952
2,2.2,Knowingly/recklessly give any information/produce any document which is false in a material particular to Treasury.,"Al-Qaida and Taliban (UN Measures) Order 2006, Schedule 1, 4(b)",2006 No. 2952
2,2.2,"With intent to evade provisions of Schedule 1, destroy/mutilate/deface/conceal /remove any document.","Al-Qaida and Taliban (UN Measures) Order 2006, Schedule 1, 4(d)",2006 No. 2952
2,2.2,Person discloses any information in contravention of direction made under Section 18,"Anti-terrorism, Crime & Security Act 2001, s.18",2001 c. 24
2,2.2,Assisting or inducing certain weapons-related acts overseas,"Anti-Terrorism, Crime and Security Act 2001, s.50",2001 c. 24
2,2.2,Occupier fails to comply with any duty or direction imposed on him by or under Part 7; person knowingly or recklessly makes a statement which is false or misleading,"Anti-terrorism, Crime & Security Act 2001. s.67",2001 c. 24
2,2.2,Prohibition of disclosures relating to nuclear security,"Anti-terrorism, Crime and Security Act 2001, s.79  ",2001 c. 24
2,2.2,Prohibition of disclosures of uranium enrichment technology,"Anti-terrorism, Crime and Security Act 2001, s.80",2001 c. 24
2,2.2,Use of noxious substances or things to cause harm and intimidate,"Anti-Terrorism, Crime and Security Act 2001, s.113",2001 c. 24
2,2.2,Hoaxes involving noxious substances or things,"Anti-terrorism, Crime and Security Act 2001, s.114 ",2001 c. 24
2,2.2,Failure to comply with prohibition imposed by order; engages in an activity knowing or intending that it will enable or facilitate the commission by another person of an offence,"Anti-terrorism, Crime & Security Act 2001, Schedule 3, paragraph 2, 3 and 7 ",2001 c. 24
2,2.2,Offences in relation to notification requirements,"Counter-Terrorism Act 2008, s.54",2008 c. 28
2,2.2,Travel restriction,"Counter-Terrorism Act 2008, Schedule 5, Paragraph 15",2008 c. 28
2,2.2,Failure to Comply with a requirement imposed under Schedule 7,"Counter-Terrorism Act 2008, Schedule 7, Paragraph 30",2008 c. 28
2,2.2,Knowingly or recklessly providing false information or a document to obtain grant of an exemption license,"Counter-Terrorism Act 2008, Schedule 7, paragraph 31",2008 c. 28
2,2.2,Manufacture and supply of scheduled substance,"Criminal Justice (International Co-operation) Act 1990, s.12 ",1990 c. 5
2,2.2,Contravention or failure to comply with a license,"Iraq (United Nations Sanctions) Order 2000, s.5(4)",2000 No. 3241
2,2.2,Piracy with violence,"Piracy Act 1837, s.2",1837 c. 88
2,2.2,Public order offences in relation to terrorism,"Terrorism Act 2000, s.11, s.15, s.16, s.17, s.18, s.19, s.22, s.39, s.54, s.56, s.58 and s.59",2000 c. 11
2,2.2,Failure to disclose knowledge gained in the course of business,"Terrorism Act 2000, s.21A",
2,2.2,Tipping off: regulated sector,"Terrorism Act 2000, s.21D",
2,2.2,Failure to disclose information about acts of terrorism,"Terrorism Act 2000, s.38BA",
2,2.2,Eliciting publishing or communicating information about members of armed forces etc,"Terrorism Act 2000, s.58A",
2,2.2,Contravening Terrorism Prevention Measures,"Terrorism Prevention and Investigation Measures Act 2011, s.23",2011 c. 23
2,2.2,TEW Offences,Terrorist Asset-Freezing etc. Act 2010,2010 c. 38
2,2.2,Disclose without lawful authority confidential information provided by the Treasury,"The Terrorism (United Nations Measures) Order 2006, s.6(5)",2006 No. 2657
2,2.2,Not under authority of a licence dealt with funds/economic resources belonging to/owned/held by an Art 7(2) person,"The Terrorism (United Nations Measures) Order 2006, s.7(3)",2006 No. 2657
2,2.2,Make funds/economic resources/financial services available directly to/indirectly to/for the benefit of Art 7(2) person,"The Terrorism (United Nations Measures) Order 2006, s.8(3)",2006 No. 2657
2,2.2,"Participate, knowingly and intentionally, in activities to circumvent Article 7(1) or 8(1) prohibition, or, to enable or facilitate an offence under Article 7 or 8","The Terrorism (United Nations Measures) Order 2006, s.10",2006 No. 2657
2,2.2,Make a statement or furnish a document or information which is false in a material to obtain a Treasury licence,"The Terrorism (United Nations Measures) Order 2006, s.11(5)",2006 No. 2657
2,2.2,"Gives false information or documents or destroys, mutilates, etc, documents. ","The Terrorism (United Nations Measures) Order 2006,  Schedule 1, Paragraph 4",2006 No. 2657
2,2.2,"Attacks and threats of attack on United Nations workers, premises and vehicles","United Nations Personnel Act 1997, s.1, s.2, s.3",1997 c. 13
3,3.1,Attempted murder,Common Law and Criminal Attempts Act 1981,1981 c. 47
3,3.1,Causing or Allowing Death of Child or Vulnerable Person,"Domestic Violence, Crime and Victims Act 2004, s.5",2004 c. 28
3,3.2,Attempted murder,Common Law and Criminal Attempts Act 1981,1981 c. 47
3,3.2,"Maliciously administering poison, etc, so as to endanger life or inflict grevous bodily harm","Offences against the Person Act 1861, s.23",1861 c. 100
3,3.3,"Maliciously administering poison, etc, so as to endanger life or inflict grevous bodily harm","Offences against the Person Act 1861, s.23",1861 c. 100
3,3.3,Racially or Religiously Aggravated wounding or grievous bodily harm,"Crime and Disorder Act 1998, s.29(1)(a)",1998 c. 37
3,3.3,Offences relating to female genital mutilation,"Female Genital Mutilation Act 2003, s.1(1), s.2, s.3, s.5",2003 c. 31
3,3.3,"Causing explosions, sending explosive substance or throwing corrosive fluids with intent to do grievous bodily harm",Offences against the Person Act 1861 s.29,1861 c. 100
3,3.3,Wounding with intent to do grievous bodily harm,"Offences against the Person Act 1861, s.18",1861 c. 100
3,3.4,Cruelty to and neglect of children,"Children and Young Persons Act 1933, s.1",1933 c. 12
3,3.4,Exposing child to risk of burning,"Children and Young Persons Act 1933, s.11",1933 c. 12
3,3.4,Racially or Religiously Aggravated Stalking with fear of violence,"Crime and Disorder Act 1998, s.32(1)(b)",1998 c. 37
3,3.4,Owner or person in charge allowing dog to be dangerously out of control injuring any person,"Dangerous Dogs Act 1991, s.3",1991 c. 65
3,3.4,Ill treatment or neglect of a person lacking capacity by anyone responsible for that persons care,"Mental Capacity Act 2005, s.44",2005 c. 9
3,3.4,Ill treatment of patients,"Mental Health Act 1983, s.127",1983 c. 20
3,3.4,Impeding the saving of life from shipwreck,Offences against the Person Act 1861 s.17,1861 c. 100
3,3.4,Racially aggravated malicious wounding:- wounding or inflicting grievous bodily harm,"Offences against the Person Act 1861, s.20",1861 c. 100
3,3.4,Attempting to choke etc. in order to commit indictable offence,Offences against the Person Act 1861 s.21,1861 c. 100
3,3.4,Using chloroform etc. to commit indictable offence,Offences against the Person Act 1861 s.22,1861 c. 100
3,3.4,Administering poison with intent to injure or annoy,Offences against the Person Act 1861 s.24,1861 c. 100
3,3.4,Abandoning child under two years,Offences against the Person Act 1861 s.27,1861 c. 100
3,3.4,Causing bodily injury by explosion,Offences against the Person Act 1861 s.28,1861 c. 100
3,3.4,Setting spring guns etc with intent to inflict grievous bodily harm,Offences against the Person Act 1861 s.31,1861 c. 100
3,3.4,Administering drugs or using instruments to procure abortion,Offences against the Person Act 1861 s.58,1861 c. 100
3,3.4,Make / manufacture / possess an explosive / a thing / machine / engine / instrument / with intent to commit an offence,Offences against the Person Act 1861 s.64,1861 c. 100
3,3.5,Racially or Religiously Aggravated assault occasioning actual bodily harm,"Crime and Disorder Act 1998, s.29(1)(b)",1998 c. 37
3,3.5,Threats to Kill,"Offences against the Person Act 1861, s.16",1861 c. 100
3,3.5,"Inflicting bodily injury, with or without a weapon","Offences against the Person Act 1861, s.20",1861 c. 100
3,3.5,Assault occasioning actual bodily harm,"Offences against the Person Act 1861, s.47",1861 c. 100
4,4.1,Intercourse with a girl under thirteen,"Sexual Offences Act 1956, s.5",1956 c. 69
4,4.1,Intercourse with a girl between thirteen and sixteen,"Sexual Offences Act 1956, s.6",1956 c. 69
4,4.1,Intercourse with a defective,"Sexual Offences Act 1956, s.7",1956 c. 69
4,4.1,Buggery,"Sexual Offences Act 1956, s.12",1956 c. 69
4,4.1,Assault with intent to commit buggery,"Sexual Offences Act 1956, s.16",1956 c. 69
4,4.1,Rape,"Sexual Offences Act 2003, s.1",2003 c. 42
4,4.1,Assault by penetration,"Sexual Offences Act 2003, s.2",2003 c. 42
4,4.1,Causing or inciting a child under 13 to engage in sexual activity,"Sexual Offences Act 2003, s.8(2)",2003 c. 42
4,4.1,Sexual activity with a child,"Sexual Offences Act 2003, s.9(2)",2003 c. 42
4,4.1,Causing or inciting a child to engage in sexual activity,"Sexual Offences Act 2003, s.10(2)",2003 c. 42
4,4.1,Sexual activity with a child family member,"Sexual Offences Act 2003, s.25(6)",2003 c. 42
4,4.1,Inciting a child family member to engage in sexual activity,"Sexual Offences Act 2003, s.26(6)",2003 c. 42
4,4.1,Sexual activity with a person with a mental disorder impeding choice,"Sexual Offences Act 2003, s.30(3)",2003 c. 42
4,4.1,"Causing or inciting a person, with a mental disorder impeding choice, to engage in sexual activity","Sexual Offences Act 2003, s.31(3)",2003 c. 42
4,4.1,"Inducement, threat or deception to procure sexual activity with a person with a mental disorder","Sexual Offences Act 2003, s.34(2)",2003 c. 42
4,4.1,"Causing a person with a mental disorder to engage in sexual activity by inducement, threat or deception","Sexual Offences Act 2003, s.35(2)",2003 c. 42
4,4.1,Paying for the sexual services of a child,"Sexual Offences Act 2003, s.47(6)",2003 c. 42
4,4.1,Rape of a child under 13,"Sexual Offences Act 2003, s.5",2003 c. 42
4,4.1,Assault of a child under 13 by penetration,"Sexual Offences Act 2003, s.6",2003 c. 42
4,4.1,Care workers : Sexual activity with a person with a mental disorder,"Sexual Offences Act 2003, s.38(3)",2003 c. 42
4,4.1,Care workers : Causing or inciting sexual activity,"Sexual Offences Act 2003, s.39(3)",2003 c. 42
4,4.2,Arranging or facilitating [sexual exploitation of a child] ,"Sexual Offences Act 2003, s.50",2003 c. 42
4,4.2,Sexual assault of a child under 13,"Sexual Offences Act 2003, s.7",2003 c. 42
4,4.2,Causing or inciting a child under 13 to engage in sexual activity,"Sexual Offences Act 2003, s.8(1)",2003 c. 42
4,4.2,Sexual activity with a child,"Sexual Offences Act 2003, s.9(1)",2003 c. 42
4,4.2,Causing or inciting a child under 13 to engage in sexual activity,"Sexual Offences Act 2003, s.10(1)",2003 c. 42
4,4.2,Arranging or facilitating commission of a child sex offence,"Sexual Offences Act 2003, s.14",2003 c. 42
4,4.2,Abuse of position of trust: sexual activity with a child,"Sexual Offences Act 2003, s.16",2003 c. 42
4,4.2,Abuse of position of trust: causing or inciting a child to engage in sexual activity,"Sexual Offences Act 2003, s.17",2003 c. 42
4,4.2,Sexual activity with a child family member,"Sexual Offences Act 2003, s.25(1)",2003 c. 42
4,4.2,Inciting a child family member to engage in sexual activity,"Sexual Offences Act 2003, s.26(1)",2003 c. 42
4,4.2,Sexual activity with a person with a mental disorder impeding choice,"Sexual Offences Act 2003, s.30(1)",2003 c. 42
4,4.2,"Causing or inciting a person, with a mental disorder impeding choice, to engage in sexual activity","Sexual Offences Act 2003, s.31(1)",2003 c. 42
4,4.2,"Inducement, threat or deception to procure sexual activity with a person with a mental disorder","Sexual Offences Act 2003, s.34(1)",2003 c. 42
4,4.2,"Causing a person with a mental disorder to engage in sexual activity by inducement, threat or deception","Sexual Offences Act 2003, s.35(1)",2003 c. 42
4,4.2,Care workers : Sexual activity with a person with a mental disorder,"Sexual Offences Act 2003, s.38(1)",2003 c. 42
4,4.2,Care workers : Causing or inciting sexual activity,"Sexual Offences Act 2003, s.39(1)",2003 c. 42
4,4.2,Paying for the sexual services of a child,"Sexual Offences Act 2003, s.47(1)",2003 c. 42
4,4.2,Causing or inciting [sexual exploitation of a child],"Sexual Offences Act 2003, s.48",2003 c. 42
4,4.2,Controlling a child [in relation to sexual exploitation],"Sexual Offences Act 2003, s.49",2003 c. 42
4,4.3,Procurement of a defective,"Sexual Offences Act 1956, s.9",1956 c. 69
4,4.3,Incest by a man,"Sexual Offences Act 1956, s.10",1956 c. 69
4,4.3,Incest by a woman,"Sexual Offences Act 1956, s.11",1956 c. 69
4,4.3,Abduction of unmarried girl under eighteen from parent or guardian,"Sexual Offences Act 1956, s.19",1956 c. 69
4,4.3,Abduction of unmarried girl under sixteen from parent or guardian,"Sexual Offences Act 1956, s.20",1956 c. 69
4,4.3,Abduction of defective from parent or guardian,"Sexual Offences Act 1956, s.21",1956 c. 69
4,4.3,Permitting girl under thirteen to use premises for intercourse,"Sexual Offences Act 1956, s.25",1956 c. 69
4,4.3,Permitting girl between thirteen and sixteen to use premises for intercourse,"Sexual Offences Act 1956, s.26",1956 c. 69
4,4.3,Permitting defective to use premises for intercourse,"Sexual Offences Act 1956, s.27",1956 c. 69
4,4.3,"Causing or encouraging prostitution of, intercourse with, or indecent assault on, girl under sixteen","Sexual Offences Act 1956, s.28",1956 c. 69
4,4.3,Causing or encouraging prostitution of defective,"Sexual Offences Act 1956, s.29",1956 c. 69
4,4.3,Possession of prohibited images of children,"Coroners and Justice Act 2009, s.62",2009 c. 25
4,4.3,Possession of indecent photograph of child,"Criminal Justice Act 1988, s.160",1988 c. 33
4,4.3,Indecent photographs of children,"Protection of Children Act 1978, s.1",1978 c. 37
4,4.3,Engaging in sexual activity in the presence of a child,"Sexual Offences Act 2003, s.11",2003 c. 42
4,4.3,Causing a child to watch a sexual act,"Sexual Offences Act 2003, s.12",2003 c. 42
4,4.3,Child sex offences committed by children or young persons,"Sexual Offences Act 2003, s.13",2003 c. 42
4,4.3,Meeting a child following sexual grooming etc.,"Sexual Offences Act 2003, s.15",2003 c. 42
4,4.3,Abuse of position of trust: sexual activity in the presence of a child,"Sexual Offences Act 2003, s.18",2003 c. 42
4,4.3,Abuse of position of trust: causing a child to watch a sexual act,"Sexual Offences Act 2003, s.19",2003 c. 42
4,4.3,Engaging in sexual activity in the presence of a person with a mental disorder impeding choice,"Sexual Offences Act 2003, s.32",2003 c. 42
4,4.3,"Causing a person, with a mental disorder impeding choice, to watch a sexual act","Sexual Offences Act 2003, s.33",2003 c. 42
4,4.3,"Engaging in sexual activity in the presence, procured by inducement, threat or deception of a person with mental disorder","Sexual Offences Act 2003, s.36",2003 c. 42
4,4.3,"Causing a person with a mental disorder to watch a sexual act by inducement, threat or deception","Sexual Offences Act 2003, s.37",2003 c. 42
4,4.3,Care workers : Sexual activity in the presence of a person with a mental disorder ,"Sexual Offences Act 2003, s.40",2003 c. 42
4,4.3,Care workers : Causing a person with a mental disorder to watch a sexual act,"Sexual Offences Act 2003, s.41",2003 c. 42
5,5.1,Buggery,"Sexual Offences Act 1956, s.12",1956 c. 69
5,5.1,Assault with intent to commit buggery,"Sexual Offences Act 1956, s.16",1956 c. 69
5,5.1,Rape,"Sexual Offences Act 2003, s.1",2003 c. 42
5,5.1,Assault by penetration,"Sexual Offences Act 2003, s.2",2003 c. 42
5,5.1,"Causing a person to engage in sexual activity without consent: Sexual Offences Act 2003, s.4(4)","Sexual Offences Act 2003, s.4(4)",2003 c. 42
5,5.2,Sexual assault,"Sexual Offences Act 2003, s.3",2003 c. 42
5,5.2,Administering drugs to obtain or facilitate intercourse,"Sexual Offences Act 1956, s.4",1956 c. 69
5,5.2,Indecent assault on a woman,"Sexual Offences Act 1956, s.14",1956 c. 69
5,5.2,Indecent assault on a man,"Sexual Offences Act 1956, s.15",1956 c. 69
5,5.2,Causing a person to engage in sexual activity without consent,"Sexual Offences Act 2003, s.4(1)",2003 c. 42
5,5.2,Administering a substance with intent,"Sexual Offences Act 2003, s.61",2003 c. 42
5,5.3,Conspiracy to commit certain sexual acts outside the United Kingdom,"Sexual Offences (Conspiracy and Incitement) Act 1996, s.2",1996 c. 29
5,5.3,Procurement of woman by false pretences,"Sexual Offences Act 1956, s.2",1956 c. 69
5,5.3,Incest by a man,"Sexual Offences Act 1956, s.10",1956 c. 69
5,5.3,Incest by a woman,"Sexual Offences Act 1956, s.11",1956 c. 69
5,5.3,Indecency between men,"Sexual Offences Act 1956, s.13",1956 c. 69
5,5.3,Abduction of a woman by force or for the sake of her property,"Sexual Offences Act 1956, s.17",1956 c. 69
5,5.3,Causing prostitution of a woman,"Sexual Offences Act 1956, s.22",1956 c. 69
5,5.3,Procuration of girl under twenty-one,"Sexual Offences Act 1956, s.23",1956 c. 69
5,5.3,Detention of woman in brothel or other premises,"Sexual Offences Act 1956, s.24",1956 c. 69
5,5.3,Possession of extreme pornographic images,"Criminal Justice and Immigration Act 2008, s.63",2008 c. 4
5,5.3,"To have protected material, or copy of it, in his possession otherwise than while inspecting it","Sexual Offences (Protected Material) Act 1997, s.8(1)(a) ",1997 c. 39
5,5.3,Give to another person disclosed protected material in connection with sexual offence proceedings.,"Sexual Offences (Protected Material) Act 1997, s.8(1)(b)",1997 c. 39
5,5.3,Man living on earnings of prostitution,"Sexual Offences Act 1956, s.30",1956 c. 69
5,5.3,Woman exercising control over prostitute,"Sexual Offences Act 1956, s.32",1956 c. 69
5,5.3,Keeping a brothel,"Sexual Offences Act 1956, s.33",1956 c. 69
5,5.3,Keeping a brothel used for prostitution,"Sexual Offences Act 1956, s.33A",1956 c. 69
5,5.3,Landlord letting premises for use as a brothel,"Sexual Offences Act 1956, s.34",1956 c. 69
5,5.3,Tenant permitting premises to be used as a brothel,"Sexual Offences Act 1956, s.35",1956 c. 69
5,5.3,Tenant permitting premises to be used for prostitution,"Sexual Offences Act 1956, s.36",1956 c. 69
5,5.3,Causing or inciting prostitution for gain,"Sexual Offences Act 2003, s.52",2003 c. 42
5,5.3,Controlling prostitution for gain,"Sexual Offences Act 2003, s.53",2003 c. 42
5,5.3,Paying for sexual services of a prostitute subjected to force etc.,"Sexual Offences Act 2003, s.53A",2003 c. 42
5,5.3,Committing an offence with intent to commit a sexual offence,"Sexual Offences Act 2003, s.62",2003 c. 42
5,5.3,Trespass with intent to commit a sexual offence,"Sexual Offences Act 2003, s.63",2003 c. 42
5,5.3,Sex with an adult relative: penetration,"Sexual Offences Act 2003, s.64",2003 c. 42
5,5.3,Sex with an adult relative: consenting to penetration,"Sexual Offences Act 2003, s.65",2003 c. 42
5,5.3,Voyeurism,"Sexual Offences Act 2003, s.67",2003 c. 42
5,5.3,Intercourse with an animal,"Sexual Offences Act 2003, s.69",2003 c. 42
5,5.3,Sexual penetration of a corpse,"Sexual Offences Act 2003, s.70",2003 c. 42
5,5.3,"Failure to comply with, or notify police, under Notification Order, with false information","Sexual Offences Act 2003, s.91(1)",2003 c. 42
6,6.1,Cheating the public revenue,Common Law,
6,6.1,Conspiracy to defraud,Common Law,
6,6.1,Dishonestly obtaining electronic communication services,"Communications Act 2003, s.125",2003 c. 21
6,6.1,Offence of fraudulent trading,"Companies Act 2006, s.993",2006 c. 46
6,6.1,Insider Dealing,"Criminal Justice Act 1993, s.52",1993 c. 36
6,6.1,Fraudulent evasion of duty,"Customs and Excise Management Act 1979, s.170(1)(b)",1979 c. 2
6,6.1,Fraudulently obtaining credit,"Debtors Act 1869, s.13",1969 c. 62
6,6.1,Cartel Offence,"Enterprise Act 2002, s.188",2002 c. 40
6,6.1,"Non-compliance, false, misleading or reckless statements","Enterprise Act 2002, s.201",2002 c. 40
6,6.1,Fraudulent evasion of tax,"Finance Act 2003, s.95",2003 c. 14
6,6.1,Falsification of documents,"Finance Act 2003, Schedule 13, Part 8",2003 c. 14
6,6.1,Acknowledging bail in false name,"Forgery Act 1861, s.34",1861 c. 98
6,6.1,"Destroying, injuring, forging or falsifying registers of births, baptisms, marriages, deaths or burials or certified copies","Forgery Act 1861, s.36",1861 c. 98
6,6.1,"Making false entries in copies of registers of baptisms, marriages, or burials, directed to be sent to any registrar, or destroying or concealing copies of registers","Forgery Act 1861, s.37",1861 c. 98
6,6.1,Forgery,"Forgery and Counterfeiting Act 1981, s.1",1981 c. 45
6,6.1,Copying a false instrument,"Forgery and Counterfeiting Act 1981, s.2",1981 c. 45
6,6.1,Use or copy of a false instrument,"Forgery and Counterfeiting Act 1981, s.3, s.4",1981 c. 45
6,6.1,Possess false instrument or materials to make false instrument,"Forgery and Counterfeiting Act 1981, s.5",1981 c. 45
6,6.1,Counterfeiting notes and coins,"Forgery and Counterfeiting Act 1981, s.14",1981 c. 45
6,6.1,Passing etc counterfeit notes and coins,"Forgery and Counterfeiting Act 1981, s.15",1981 c. 45
6,6.1,Custody or control of counterfeit notes and coins,"Forgery and Counterfeiting Act 1981, s.16",1981 c. 45
6,6.1,Making or custody or control of counterfeiting materials and implements,"Forgery and Counterfeiting Act 1981, s.17",1981 c. 45
6,6.1,Reproducing or making etc of British notes and coins,"Forgery and Counterfeiting Act 1981, s.18, s.19",1981 c. 45
6,6.1,Fraud by false representation,"Fraud Act 2006, s.2",2006 c. 35
6,6.1,Fraud by failing to disclose information,"Fraud Act 2006, s.3 ",2006 c. 35
6,6.1,Fraud by abuse of position ,"Fraud Act 2006, s.4",2006 c. 35
6,6.1,Possession etc of articles for use in frauds,"Fraud Act 2006,  s.6",2006 c.35
6,6.1,Making or supplying articles for use in frauds ,"Fraud Act 2006, s.7",2006 c. 35
6,6.1,Participating in fraudulent business carried on by sole trader etc,"Fraud Act 2006, s.9",2006 c. 35
6,6.1,Obtaining services dishonestly,"Fraud Act 2006, s.11",2006 c. 35
6,6.1,"Breach of requirements, lack of qualification, falsification etc.","Gun Barrel Proof Act 1868, s.30, s.122, s.141",1868 c. cxiii
6,6.1,Counterfeiting etc. of dies or marks,"Hallmarking Act 1973, s.6",1973 c. 43
6,6.1,"Fraud, etc in anticipation of winding up","Insolvency Act 1986, s.206(1)",1986 c. 45
6,6.1,"Privity to fraud in anticipation of winding up; fraud, or privity to fraud, after commencement of winding up","Insolvency Act 1986, s.206(2)",1986 c. 45
6,6.1,Transactions in fraud of creditors,"Insolvency Act 1986, s.207",1986 c. 45
6,6.1,Misconduct in course of winding up,"Insolvency Act 1986, s.208",1986 c. 45
6,6.1,Falsification of company’s books,"Insolvency Act 1986, s.209",1986 c. 45
6,6.1,Bankrupt failing to disclose property or disposals to official receiver or trustee,"Insolvency Act 1986, s.353(1)",1986 c. 45
6,6.1,"Bankrupt failing to deliver property to, or concealing property from, official receiver or trustee","Insolvency Act 1986, s.354(1)",1986 c. 45
6,6.1,Bankrupt removing property which he is required to deliver to official receiver or trustee,"Insolvency Act 1986, s.354(2)",1986 c. 45
6,6.1,Bankrupt failing to account for loss of substantial part of property,"Insolvency Act 1986, s.354(3)",1986 c. 45
6,6.1,"Bankrupt failing to deliver books, papers or records to official receiver or trustee","Insolvency Act 1986, s.355(1)",1986 c. 45
6,6.1,"Bankrupt concealing destroying etc. books, papers or records or making  false entries in them","Insolvency Act 1986, s.355(2)",1986 c. 45
6,6.1,"Bankrupt disposing of, or altering, books, papers or records relating to his estate or affairs","Insolvency Act 1986, s.355(3)",1986 c. 45
6,6.1,Bankrupt making material omission in statement relating to his affairs,"Insolvency Act 1986, s.356(1)",1986 c. 45
6,6.1,"Bankrupt making false statement, or failing to inform trustee, where false debt proved","Insolvency Act 1986, s.356(2)",1986 c. 45
6,6.1,Bankrupt fraudulently disposing of property,"Insolvency Act 1986, s.357",1986 c. 45
6,6.1,Bankrupt absconding with property he is required to deliver to official receiver or trustee,"Insolvency Act 1986, s.358",1986 c. 45
6,6.1,Fraudulent dealing with property obtained on credit,"Insolvency Act 1986, s.359",1986 c. 45
6,6.1,Bankrupt disposing of property obtained on credit and not paid for,"Insolvency Act 1986, s.359(1)",1986 c. 45
6,6.1,Bankrupt obtaining credit or engaging in business without disclosing his status or name in which he was made bankrupt,"Insolvency Act 1986, s.360(1)",1986 c. 45
6,6.1,Person made bankrupt in Scotland or Northern Ireland obtaining credit etc. in England and Wales,"Insolvency Act 1986, Sec.360(3)",1986 c. 45
6,6.1,Frauds in connection with sale of land etc,"Law of Property Act 1925, s.183",1925 c. 20
6,6.1,Providing false or misleading information for allowance claims,"Parliamentary Standads Act 2009, s.10",2009 c. 13
6,6.1,Concealing etc. criminal property,"Proceeds of Crime Act 2002, s.327",2002 c. 29
