Offence,Act,Class
Carrying a loaded or unloaded or imitation firearm or air weapon in public place.,Firearms Act 1968 as amended by Violent Crime Reduction Act 2006 Sec 19,C
Carrying loaded firearm or any other firearm (whether loaded or not) together with ammunition suitable for use in that firearm in a public place etc ,Firearms Act 1968 Sec 19 as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,C
Carrying loaded firearm or any other firearm (whether loaded or not) together with ammunition suitable for use in that firearm in a public place etc ,Firearms Act 1968 Sec 19 as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,C
Carrying on a process without authority or not complying with conditions of granted authority,Environmental Protection Act 1990 Sec 23(1)(a),H*
Carrying or concealing on a ship a controlled drug intended for trafficking - Class A,Criminal Justice (International Co-operation) Act 1990 Sec 19 ,H*
Carrying or concealing on a ship a controlled drug intended for trafficking - Class B,Criminal Justice (International Co-operation) Act 1990 Sec 19 ,H*
Carrying or concealing on a ship a controlled drug intended for trafficking - Class unspecified,Criminal Justice (International Co-operation) Act 1990 Sec 19 ,H*
"Carrying out or causing to permit to be carried out, any operation likely to damage part of an area of special scientific interest subject to notification by Nature Conservancy Council",Wildlife & Countryside Act 1981 S.28P as added by Countryside & Rights of Way Act 2000 Sch.9,H*
Cartel offences,"The Enterprise Act 2002 Secs 183, 185",H*
Causing a child under 13 to watch a sexual act - Offender aged under 18 ,Sexual Offences Act 2003 Sec 13,D
Causing a child under 13 to watch a sexual act - Offender aged 18 or over,Sexual Offences Act 2003 Sec 12,D
Causing a child under 16 to watch a sexual act,Sexual Offences Act 2003 Sec 12,D
Causing a child under 16 to watch a sexual act - Offender under 18,Sexual Offences Act 2003 Sec 12,D
Causing a person to engage in sexual activity without consent - Female person,Sexual Offences Act 2003 Sec 4,J
Causing a person to engage in sexual activity without consent - Female person - no penetration,Sexual Offences Act 2003 Sec 4,D
Causing a person to engage in sexual activity without consent - Male person,Sexual Offences Act 2003 Sec 4,J
Causing a person to engage in sexual activity without consent - Male person - no penetration,Sexual Offences Act 2003 Sec 4,D
Causing a person with a mental disorder impeding choice to watch a sexual act,Sexual Offences Act 2003 Sec 33,D
"Causing a person with a mental disorder to engage in sexual activity by inducement, threat or deception - no penetration",Sexual Offences Act 2003 Sec 35,J
"Causing a person with a mental disorder to engage in sexual activity by inducement, threat or deception - penetration",Sexual Offences Act 2003 Sec 35,J
"Causing a person with a mental disorder to watch a sexual act by inducement, threat or deception",Sexual Offences Act 2003 Sec 37,D
Causing bodily injury by explosion,Offences against the Person Act 1861 Sec 28,B
Causing danger to road-users,Road Traffic Act 1988 Sec 22a,B
Causing death by aggravated vehicle taking,Theft Act 1968 Sec 12A as added by the Aggravated Vehicle Taking Act 1992 Sec 2,B
Causing death by careless driving when under the influence of drink or drugs ,Road Traffic Act 1988 Sec 3A as added by the Road Traffic Act 1991 Sec 3 and amended by the Criminal Justice Act 1993 Sec 67,B
Causing Death by Careless or Inconsiderate Driving ,Road Traffic Act 1988 Sec 2B as added by the Road Safety Act 2006 Sec 20,H*
Causing death by dangerous driving ,Road Traffic Act 1988 Sec 1. as added by the Road Traffic Act 1991 Sec 1 and Criminal Justice Act 1993 Sec 67 ,B
"Causing Death by Driving: Unlicensed, Disqualified or Uninsured Drivers ",Road Traffic Act 1988 as added by the Road Safety Act 2006 Sec 21,H*
Causing deliberate interference with wireless telegraphy,"Wireless Telegraphy Act, 1949 Sec 13",H*
Causing disaffection among the police,"Police Act 1996 Sec 91 Police Act 1996 Secs 43,87 ",H*
"Causing explosions, sending explosive substance or throwing corrosive fluids with intent to do grievous bodily harm",Offences against the Person Act 1861 Sec 29,B
"Causing intentional harassment, alarm or distress",Public Order Act 1986 Sec 4A,H*
Causing or Allowing Death of Child or Vulnerable Person,"Domestic Violence, Crime and Victims Act 2004 Sec 5",B
Causing or encouraging prostitution of a girl under 16,Sexual Offences Act 1956 s 28 ,J
Causing or encouraging prostitution of defective,Sexual Offences Act 1956 s 29 ,D
Causing or inciting a child under 13 to engage in sexual activity - Female child,Sexual Offences Act 2003 Sec 8,J
Causing or inciting a child under 13 to engage in sexual activity - Female child - no penetration,Sexual Offences Act 2003 Sec 8,J
Causing or inciting a child under 13 to engage in sexual activity - Female child - no penetration - Offender under 18,Sexual Offences Act 2003 Sec 10,J
Causing or inciting a child under 13 to engage in sexual activity - Female child - Offender under 18,Sexual Offences Act 2003 Sec 10,J
Causing or inciting a child under 13 to engage in sexual activity - Male child,Sexual Offences Act 2003 Sec 8,J
Causing or inciting a child under 13 to engage in sexual activity - Male child - no penetration,Sexual Offences Act 2003 Sec 8,J
Causing or inciting a child under 13 to engage in sexual activity - Male child - no penetration - Offender under 18,Sexual Offences Act 2003 Sec 10,J
Causing or inciting a child under 13 to engage in sexual activity - Male child - Offender under 18,Sexual Offences Act 2003 Sec 10,J
Causing or inciting a child under 16 to engage in sexual activity - Female child - no penetration,Sexual Offences Act 2003 Sec 10,J
Causing or inciting a child under 16 to engage in sexual activity - Female child - no penetration - Offender under 18,Sexual Offences Act 2003 Sec 10,J
Causing or inciting a child under 16 to engage in sexual activity - Female child - Offender under 18,Sexual Offences Act 2003 Sec 10,J
Causing or inciting a child under 16 to engage in sexual activity - Female child (Penetration),Sexual Offences Act 2003 Sec 10,J
Causing or inciting a child under 16 to engage in sexual activity - Male child - Offender under 18,Sexual Offences Act 2003 Sec 10,J
Causing or inciting a child under 16 to engage in sexual activity - Male child (Penetration),Sexual Offences Act 2003 Sec 10,J
Causing or inciting a child under 16 to engage in sexual activity - Male child -no penetration,Sexual Offences Act 2003 Sec 10,J
Causing or inciting a child under 16 to engage in sexual activity - Male child -no penetration - Offender under 18,Sexual Offences Act 2003 Sec 10,J
Causing or inciting a person with a mental disorder impeding choice to engage in sexual activity - Female person ,Sexual Offences Act 2003 Sec 31,J
Causing or inciting a person with a mental disorder impeding choice to engage in sexual activity - Female person - no penetration,Sexual Offences Act 2003 Sec 31,J
Causing or inciting a person with a mental disorder impeding choice to engage in sexual activity - Male person,Sexual Offences Act 2003 Sec 31,J
Causing or inciting a person with a mental disorder impeding choice to engage in sexual activity - Male person - no penetration,Sexual Offences Act 2003 Sec 31,J
Causing or inciting child prostitution or pornography - Child 13 - 17,Sexual Offences Act 2003 Sec 48,J
Causing or inciting child prostitution or pornography - Child under 13,Sexual Offences Act 2003 Sec 48,J
Causing or inciting prostitution for gain,Sexual Offences Act 2003 Sec 52,D
Causing prostitution of a woman,Sexual Offences Act 1956 s 22,H
Census official contravening provisions,Census Act 1920 Sec 8(2),H*
Certificate of approval of type vehicle,Public Passenger Vehicles Act 1981 Sec 65(1)(c) & (2),H
Certificate of Initial Fitness,Public Passenger Vehicles Act 1981 Sec 65(1)(b) & (2),H
Certificate of qualification,Public Passenger Vehicles Act 1981 Sec 65(1)(e) & (2),H
"Charges at airports for air navigation services, aircraft accidents, control of aircraft noise and supersonic flight, offences committed on board aircraft, piracy of the convention on the high seas, etc. b) triable either way only",Civil Aviation Act 1982 (includes Tokyo convention Act 1967) and orders and bylaws made thereunder,H*
Cheating at gambling or enabling or assisting person to cheat,Gambling Act 2005 Sec 42,H*
Child Destruction ,Infant Life (Preservation) Act 1929 Sec 1,A
Commercial organisation - fail to prevent associate bribing another with intent to obtain / retain business / advantage,Bribery Act 2010 Sec 7,I
Commit act prejudicial to safety or interest of the State,The Official Secrets Act 1911 S1,H*
Committing an act of indecency with or towards a child under the age of 16 or inciting a child under that age to commit such an act with him or another,Indecency with Children Act 1960 sec 1,J
Committing an offence with intent to commit a sexual offence,Sexual Offences Act 2003 Sec 62,D
"Committing or conspiring to commit, an act outraging public decency",Common Law,H*
Common assault and battery,Criminal Justice Act 1988 Sec 39,H
Common Law offences not listed separately,Common Law,H*
Communicating false information alleging presence of bomb,Criminal Law Act 1977 Sec. 51,C
Compelling by threatening to destroy or damage ship or sea platform or property used in navigation,Aviation and Maritime Security Act 1990 Sec 13,H*
Concealing etc. criminal property,Proceeds of Crime Act 2002 Sec 327,B
Concealing or transferring the proceeds of drug trafficking,Drug Trafficking Act 1994 Sec 49 ,B
Concealment of birth,Offences against the Person Act 1861 Sec 60,C
Concealment of offences,Criminal Law Act 1967 Sec 5(1),I
"Concerning - Eggs; capital and other grants; smallholdings, flood warning systems, animal diseases",Agriculture Act 1970 other than Secs 66-87 (part IV),H*
Conservation of Whales- various offences,Whaling Industry (Regulation) Act 1934,H*
Conspiracy,Criminal Law Act 1977 sec 1,A/B/C/D/E/F/G/H/I/J/K
Conspiracy to commit a listed Sexual offence,Sexual Offences (Conspiracy and Incitement) Act 1996,H*
Conspiracy to commit cheque or credit card fraud,Common Law Criminal Justice Act 1987 Sec 12,H*
Conspiracy to commit murder,Criminal Law Act 1977 Sec 1,A
Conspiracy to corrupt public morals,Common Law,H*
Conspiracy to defraud (apart from cheque & credit card fraud),Common Law Criminal Justice Act 1987 Sec 12,H*
Conspiracy to outrage public decency,Common Law,H
Conspiring in the UK to commit offences overseas,Criminal Justice (Terrorism & Conspiracy) Act 1998 Sec 5 ,I
"Contamination of or interference with goods with intention of causing public alarm, anxiety, economic loss, etc.",Public Order Act 1986 Sec 38(1),B
Contravene improvement or prohibition notice. ,"Health and Safety at Work etc. Act 1974 Secs 21 to 24, 33(1)(g) and 33(3)",H*
Contravene order under Section 42,"Health and Safety at Work etc. Act 1974 Secs 42, 33(1)(o) and 33(3)",H*
Contravene prohibition on dealing with funds/economic resources.,Al-Qaida and Taliban (UN Measures) Order 2006 S.7.,H*
Contravene prohibition on disclosure on information. ,Al-Qaida and Taliban (UN Measures) Order 2006 S.6.,H*
Contravene prohibition on making available funds/economic resources.,Al-Qaida and Taliban (UN Measures) Order 2006 S.8.,H*
Contravene regulations.,Foot and Mouth Disease (Export Restrictions) (England) Regulations 2007 S.21.,H*
Contravene requirement of inspector under Section 20 or under 25,"Health and Safety at Work etc. Act 1974 Secs 25, 33(1)(e) and 33(3)",H*
Contravenes any regulations under sub-section (2) of that section,Fair Trading Act 1973 Sec 120(2),H*
"Contravenes or fails to comply with a Direction, given in times of severe international tension, great national emergency or actual or imminent hostilities.",Transport Act 2000 S.93(7),H*
"Contravenes or fails to comply with Direction, or makes a disclosure in contravention of a Direction, made in the interests of national security etc.",Transport Act 2000 S.38(11),H*
Contravening a prohibition notice,Environmental Protection Act 1990 Sec 118(1)(f),H*
Contravening a requirement or prohibition imposed by an improvement or prohibitive notice,Working Time Regulations 1998 R.29(3)(c ) & (7) ,H*
Contravening and failing to comply etc with the requirements of an environmental permit,Environmental Permitting (England and Wales) Regulations 2007 RR.38(1)(a) (b) & (c ) & 39(1),H*
Contravening cargo ship construction & survey rules,Merchant Shipping Act 1964 Sec 7,H*
Contravening conditions of a waste management licence,Environmental Protection Act 1990 Sec. 33(6),H*
Contravening fire precaution regulations,Fire Precautions Act 1971 Sec 12(6),H*
Contravening or failing to comply with specified Community provision referred to in Part I of the schedule,Genetically Modified Animal Feed (England) Regulations 2004 Reg 5(1) & Sch Pt I ,H*
Contravening or failing to comply with specified Community provision referred to in Part II of the schedule,Genetically Modified Animal Feed (England) Regulations 2004 Reg 5(2) & Sch Pt II ,H*
"Contravening regulations made to control the import, use, supply and storage of any specified injurious substance or article",Environmental Protection Act 1990 Sec 140,H*
Contravening regulations made to prohibit or restrict the import or export of waste,Environmental Protection Act 1990 Sec 141,H*
Contravening regulations made under sec 62 controlling special waste,Environmental Protection Act 1990 Sec. 62,H*
Contravening restrictions on re-use of name of company in insolvent liquidation,Insolvency Act 1986 Sec 216(4,H*
Contravening sales of regulated products or disclosing information.,Agricultural Marketing Act 1958 Sec 6(6) and 47(3),H*
Contravening the construction and survey regulations for offshore installations,Mineral Workings (Offshore Installations) Act 1971 Sec 3,H*
"Contravening the law relating to the regulation and control of fishing for salmon, trout, freshwater fish and eels, the protection and conservation of fisheries for such fish, the times of fishing for the selling such fish b. Sec 27 (instrument other than rod and line) Secs 4, 5",Salmon and Freshwater Fisheries Act 1975 (except Sec 1,H*
Contravening tree preservation order,Town and Country Planning Act 1990 Sec 210(1-3),H*
Contravention of an Order relating to protection of wrecks- implementation of international agreements,Merchant Shipping and Maritime Security Act 1997 Sec 24,H*
Contravention of any requirement of fire certificate,Fire Precautions Act 1971 Sec 7(4),H*
"Contravention of directions prohibiting, prescribing, possessing, supply etc. of controlled drugs by practitioners or pharmacists-","Misuse of Drugs Act 1971 Sec 12(6),13(3) ",B
Contravention of directions relating to safe custody of controlled drugs,Misuse of Drugs Act 1971 Sec 11(2),H
Contravention of discontinuance of use etc. order,Town and Country Planning Act 1990 Sec 189,H*
Contravention of hazardous substances control,Planning (Hazardous Substances) Act 1990 Sec 23,H*
Contravention of prohibition notice,Fire Precautions Act 1971 Sec 10(B),H*
